Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,SC Tap3,R12.8,R12.9,R12.10,R23.7,R23.8,R23.9,R23.10,R31.1,R31.3,R31.9,R31.10,R31.11,x10,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Bush2 cap,Bush2 tan,Bush3 cap,Bush3 tan,Surge1 loss,Surge1 leak,Surge2 loss,Surge3 loss,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
0.4817,2.184,2.2319,,,,8.7324,8.6233,8.5171,8.85,8.7379,8.6287,8.5227,9.5871,9.3277,8.6293,8.5235,8.4198,,10.3228,0.1887,31.8342,0.1692,89.0167,30.3667,,,,,,,37.4,0,38.1,39.5,4800,31,0,13,63,680,26,17,22,3465,82905
3,3,3,73.6667,80.6667,81.6667,8.7366,8.6287,8.5207,8.8443,8.7363,8.6283,8.5205,9.4918,9.276,8.6282,8.5202,8.4123,20,7.479,0.1739,7.479,0.1783,82.05,71.6833,167.82,0.2931,169.877,0.3101,169.547,0.3944,45.4,10,49.8,46.4,3594,40,3,14,47,219,18,3,46,14288,5115
2.43,1.8889,1.5439,72.3333,80.6667,81.6667,8.7311,8.6223,8.5162,8.8431,8.7311,8.622,8.516,9.5782,9.3192,8.6221,8.5161,8.4126,20,10.2621,0.1191,,0.13,81.4833,91.6,236.74,0.3247,245.957,0.3237,236.092,0.3623,66.8,0,70.5,70.2,5666,12,0,6,14,612,15,14,0,3210,60927
2.1275,1.8523,1.487,,,,8.7368,8.6275,8.521,8.8487,8.7367,8.6274,8.521,9.5861,9.327,8.6274,8.521,8.4171,,15.2854,0.2502,15.2854,0.2499,87.7667,78.7833,256.753,1.6209,256.505,1.8099,259.096,0.1963,157.6,10,101.8,92.8,1777,16,0,538,205,172,438,0,0,916,85290
2.28,2.359,2.9344,,93.3697,,8.5155,8.6218,8.7307,8.4118,8.5157,8.622,8.7305,7.8376,8.0206,8.6216,8.7313,8.8433,61.7,16.9558,0.1699,28.2287,0.2016,89.05,45.85,258.005,0.2302,254.77,0.2008,254.671,0.2037,149.8,0,109,145.7,2115,15,0,462,200,142,323,0,0,786,83921
1.8519,1.495,1.3153,,,,8.5134,8.6198,8.7288,8.4097,8.5137,8.6198,8.7288,7.8364,8.0186,8.6195,8.7286,8.8407,1.2872,15.3808,0.1835,,,78.4167,41.3167,259.201,1.34,256.455,0.2604,255.523,1.0489,82.1,0,84.3,84.9,8290,82,0,5,10,1548,34,15,0,14439,90655
2.008,2.1043,1.8664,87.442,80.2099,74.9546,8.52,8.627,8.737,8.416,8.521,8.627,8.737,7.842,7.932,8.416,8.52,8.627,15.999,8.5254,0.14,23.3375,0.15,88.2,76.95,224.48,0.21,222.63,0.22,220.89,0.23,120.4,0,120.4,121.9,871,4,0,18,14,63,15,23,0,2708,27563
3,3,3,95.6667,100.3333,59,8.7347,8.6265,8.5184,8.8426,8.7347,8.6264,8.518,9.4924,9.2761,8.6265,8.5181,8.4162,20,10,0.01,20,0.01,52.35,60.0833,200,0.01,200,0.01,200,0.01,40,0,40,40,397,5,0,16,7,55,23,29,0,17280,352
1.8603,1.6138,1.3447,,,,8.7289,8.62,8.5137,8.8409,8.7289,8.6199,8.5135,9.577,9.3179,8.6201,8.5139,8.4099,1.088,15.6665,0.316,26.3177,0.3499,75.6667,41.3333,250.805,0.1218,257.433,0.157,256.175,0.1052,44.41,0,44.81,44.83,7443,8,0,4,14,0,31,21,122,14509,5212
1.4571,1.1475,1.6667,,,,8.7293,8.6201,8.5133,8.8419,8.7293,8.62,8.5135,9.5821,9.3217,8.62,8.5135,8.4094,1.1085,8.5719,0.1059,22.9695,0.1194,77.3,71.5833,223.744,0.222,223.532,0.2034,222.969,0.2246,80.2,0,93,81.1,3867,15,0,314,155,229,38,252,28,6952,77184
2.3433,1.2587,1.4692,,,,8.7294,8.6199,8.5133,8.842,8.7295,8.6202,8.5134,9.5823,9.3217,8.6201,8.5133,8.4092,1.1602,8.5714,0.1016,22.9567,0.1099,74.9167,70.3833,224.584,0.2037,223.811,0.2267,222.575,0.2141,75.5,0,48.5,74.1,1644,5,0,24,38,149,17,26,19,2238,31041
3,3,3,,,,8.7249,8.6171,8.5088,8.8337,8.7256,8.6174,8.5092,9.4829,9.2664,8.6175,8.509,8.4042,20,10,0.01,20,0.01,80.05,47.3667,200,0.01,200,0.01,200,0.01,40,0,40,40,3430,4,0,11,30,341,30,16,13,9367,4002
3,3,3,125.6667,99.3333,72,8.516,8.6226,8.7316,8.4104,8.5141,8.6205,8.7296,7.8372,8.0194,8.6207,8.7297,8.8416,20,,,,,68.5,62.5833,,,,,,,,,,,17641,9,0,7,30,1131,19,15,0,8851,82540
1.5008,1.3426,1.1066,104.1767,98.8833,98.6187,8.5173,8.6238,8.7326,8.4136,8.5175,8.6239,8.7327,7.84,8.0221,8.6235,8.7326,8.8446,20,17.656,0.088,13.5754,0.2117,75.4,66.6,320.623,0.0575,318.461,0.067,318.409,0.9741,40,0,40,40,15600,12,0,5,24,2007,15,0,0,2126,89073
4.1406,1.7576,1.4073,,,,8.5145,8.621,8.73,8.4103,8.5144,8.6206,8.7295,7.8373,8.0195,8.6205,8.7296,8.8417,,16.9062,0.283,28.235,0.397,92.5833,84.6,256.155,0.2179,251.919,0.2175,256.353,0.2293,65.4,0,62.4,65,3025,13,0,403,167,190,43,293,0,1062,97084
1.6334,1.068,1.0241,,,,8.514,8.6204,8.7293,8.4102,8.5141,8.6203,8.7293,7.8372,8.0193,8.6202,8.7293,8.8413,15.13,17.2972,1.2959,28.9036,1.1515,88.3833,82.7167,256.194,0.3772,257.104,0.0347,257.301,0.3832,62.9,0,64.5,62.4,3003,24,0,586,188,164,53,405,0,1331,85001
2.1758,2.8981,1.7857,122.6067,96.3883,75.5017,8.7537,8.647,8.5373,8.9248,8.8077,8.6972,8.5744,9.6306,9.4008,8.7128,8.6397,8.5232,183.5,12.0371,0.1377,19.6209,0.2125,76.2667,66.65,170.814,0.3097,169.355,0.3404,170.645,0.3483,37.8,0,35.6,34.1,4105,11,0,34,38,575,20,34,42,14440,79226
2.2033,1.7068,1.3636,86.2767,96.6717,75.7477,8.7246,8.6167,8.5088,8.8328,8.7246,8.6169,8.5087,9.4806,9.2645,8.617,8.509,8.4009,29.7,11.9301,0.1584,19.8262,0.3757,56.4833,57.75,170.486,0.4402,169.748,0.3324,169.471,0.4936,95.2,0,103,124.8,4064,8,0,107,130,628,28,69,48,2569,60837
2.5941,2.6507,2.1625,122.98,96.823,75.8487,8.734,8.6187,8.5141,8.8613,8.7295,8.6202,8.512,9.5047,9.2654,8.617,8.5251,8.414,198.5,11.7936,0.1432,19.4937,0.2184,52.5333,61.6167,169.58,0.3273,169.485,0.3193,170.412,0.3598,24.9,0,25,60.7,1654,100,0,28,25,393,,,65,4781,67242
2.2479,1.4565,1.4444,122.4033,96.2407,75.3767,8.7249,8.6178,8.5092,8.8331,8.725,8.6171,8.5091,9.4805,9.2648,8.6172,8.5089,8.401,24.17,12.0387,0.1289,19.7637,0.2714,73.7667,79.3,171.708,0.4513,170.526,0.2865,172.238,0.5021,50.2,0,51.9,57.1,3463,8,0,426,249,519,30,296,32,921,74964
2.4,1.7619,1.3333,122.7,96.4887,75.544,8.7298,8.6226,8.5138,8.8329,8.7247,8.6168,8.5089,9.4804,9.2647,8.617,8.5089,8.401,24.48,11.9234,0.149,19.8007,0.3424,86,73.8667,171.892,0.3568,170.272,0.3328,170.611,0.3815,0.3568,0,0.3328,0.3815,2552,13,0,420,277,344,35,278,27,1566,93849
2.1505,1.407,1.1553,122.6933,96.371,75.371,8.7249,8.6174,8.5093,8.833,8.7249,8.6172,8.5092,9.4811,9.2646,8.617,8.5092,8.4012,25.25,12.6261,0.139,20.3039,0.2368,87,57.6167,183.716,0.2359,183.064,0.2217,180.714,0.2456,92.2,0,89.2,92.4,6964,7,0,455,223,628,314,0,47,798,62348
2.6296,1.6506,1.239,122.2233,96.0613,75.1727,8.7252,8.6171,8.5094,8.8333,8.7253,8.6172,8.5092,9.4808,9.2648,8.6172,8.5093,8.401,26.3,12.6417,0.1247,20.0796,0.216,60.7333,90.3,185.958,0.2574,185.706,0.2427,182.541,0.2285,142.7,0,148.5,136.5,3169,17,0,927,265,231,640,0,20,596,81009
2.9412,2.3889,2.3,122.83,96.588,75.6767,8.725,8.6173,8.5091,8.8328,8.7246,8.6168,8.5092,9.4803,9.2648,8.6175,8.5093,8.4013,40.8,11.8975,0.137,19.7404,0.238,60.8667,60,190.696,0.5863,174.881,0.4757,171.714,0.4018,27.6,0,28.8,28.6,8711,5,0,266,210,754,26,189,64,804,70086
3,3,3,70,78,78.6667,8.7253,8.6176,8.5092,8.8337,8.7259,8.6177,8.5326,9.4836,9.2671,8.6177,8.5093,8.4013,20,10,0.01,20,0.01,60,61.8333,200,0.01,200,0.01,200,0.01,40,0,40,40,8147,9,0,310,188,454,26,212,85,1804,54017
1.794,1.6909,1.8942,104.52,82.9573,65.4857,8.7207,8.6182,8.5087,8.8315,8.7216,8.6183,8.5092,9.4833,9.2636,8.6185,8.5087,8.3977,18.26,8.2234,0.0714,14.7271,0.0931,59.6833,85.0167,171.586,0.3801,171.288,0.3605,171.083,0.3699,25,0,27.7,26.2,2191,5,0,23,33,165,16,23,0,17712,81026
1.7276,1.4039,1.8922,104.14,82.6457,65.457,8.7267,8.6244,8.5141,8.8371,8.7267,8.6243,8.5141,9.4912,9.2704,8.6244,8.514,8.4039,22.34,8.2152,0.0763,15.0031,0.1133,55.5833,83.95,167.824,0.359,170.247,0.356,171.761,0.374,27.8,0,30.2,28.2,6795,8,0,55,77,342,21,39,14,3992,49803
2.2623,1.8473,1.0945,122.9367,96.583,75.6577,8.7251,8.6173,8.5094,8.8344,8.7267,8.6189,8.5107,9.4807,9.2647,8.617,8.5088,8.401,28.26,12.1644,0.1407,20.1546,0.2986,58.2,63.3167,170.116,0.2983,171.404,0.3491,170.231,0.3632,32.9,0,31.2,30.6,10167,9,0,329,204,475,41,247,35,13511,5871
2.1929,1.6612,1.1459,123.37,97.028,77.062,8.725,8.617,8.509,8.8378,8.7302,8.6218,8.5131,9.4837,9.2668,8.62,8.5117,8.4033,26.9,11.7689,0.1219,19.2789,0.3052,74.2,73.7667,171.684,0.2994,172.306,0.349,169.993,0.3953,30.6,0,74.4,65.4,8952,8,0,325,169,408,59,257,29,8526,5597
3,3,3,,,,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,3.1523,0.1993,3.5123,0.1968,81.6833,81.65,264.98,0.2518,265.511,0.2714,256.267,0.2352,4.3,10,58,43.36,7854,322,,407,483,178,276,255,734,4123,4651
2.1667,1.5147,1.1154,122.2667,96.0903,75.221,8.7246,8.6166,8.5088,8.833,8.7253,8.6167,8.5087,9.4808,9.2647,8.617,8.5093,8.4007,120.1,12.3506,0.1338,20.2423,0.2892,62.35,65.5333,168.598,0.4112,170.447,0.4324,173.171,0.2089,23.5,0,25.3,24.5,4828,7,0,378,216,519,26,268,31,2783,82290
2.3333,1.5577,1.1033,123.2267,96.832,75.7293,8.725,8.6171,8.5091,8.8329,8.725,8.617,8.5092,9.4809,9.2647,8.617,8.509,8.4009,52.44,12.2308,0.1117,20.1173,0.3137,80.7333,79.8333,171.946,0.3962,171.141,0.4375,173.257,0.472,23,0,60.2,23.1,5672,7,0,311,199,631,25,221,63,2258,63558
2.2708,2.2258,1.6729,100.0817,78.8223,61.8103,8.7276,8.6191,8.5107,8.8386,8.7303,8.6222,8.5119,9.4864,9.2704,8.6195,8.5111,8.4025,14.63,9.0024,0.1573,9.0024,0.1399,48.8667,48.1667,192.052,0.1598,191.774,0.1866,193.639,0.2495,40.6,10,35,46.118,3271,12,0,504,223,290,80,374,15,32,0
2,2.6102,2.902,71.6336,56.637,44.2733,8.738,8.628,8.526,8.849,8.738,8.628,8.527,9.493,9.281,8.628,8.527,8.416,17.18,9.6961,0.12,16.5711,0.16,65,65,172.37,0.38,175.36,0.39,170.79,0.39,65.1,0,62.9,63.2,2401,4,0,9,18,133,,,30,2008,22601
1.5575,1.2922,1.3704,93.4007,73.949,58.635,8.724,8.6189,8.5136,8.8287,7.7238,8.6187,8.5134,9.4591,9.2492,8.6185,8.5136,8.408,43.05,9.9766,0.1003,23.2343,0.1334,70.2333,60.6167,231.64,,204.52,0.2159,206.549,0.2113,38,0,39.9,39.4,7259,8,0,85,99,202,8,46,49,1294,4219
1.6524,1.3947,1.4184,91.994,72.8373,57.7337,8.7238,8.6183,8.5131,8.8285,8.7234,8.6189,8.5132,9.4595,9.2492,8.6185,8.5132,8.408,52.47,10.2516,0.1265,21.9348,0.1559,75.05,62.1167,207.394,0.1632,206.495,0.1601,206.785,0.16,38.6,0,40.7,36.6,9477,10,0,170,162,165,16,105,39,4438,5705
1.263,1.3152,1.2353,91.7383,72.761,57.532,8.7283,8.6189,8.5137,8.829,8.7238,8.6188,8.5134,9.4894,9.2493,8.6185,8.5135,8.4081,59.65,10.1952,0.162,21.8521,0.1983,47.7833,62.35,203.69,0.2967,189.941,0.2267,206.383,0.3809,35.45,0,35.15,33,7097,,80,,,308,,1234,529,7242,72102
3,3,3,92.6667,73.6667,58,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,6.3633,0.1274,6.3633,0.1274,84.05,81.4667,,,,,,,118.8,1,117.7,116,6732,32,0,206,217,741,68,139,0,3956,82538
3,3,3,92,73,57.6667,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,10,0.01,20,0.01,50.2167,65.3,200,0.01,200,0.01,200,0.01,40,0,40,40,8478,10,0,180,176,382,33,108,37,1588,82639
3,3,3,92,73,57.6667,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,10,0.01,20,0.01,60,60,200,0.01,200,0.01,200,0.01,40,0,40,40,9121,11,0,202,197,375,62,125,128,237,89898
1.7351,1.3925,1.8793,92.1477,73.198,57.9,8.7316,8.6263,8.521,8.837,8.7316,8.6269,8.521,9.4685,9.258,8.626,8.5208,8.4156,33.78,10.0657,0.1051,20.0528,0.1261,49.5667,86.6,204.585,0.3302,206.73,0.3376,204.771,0.338,51.3,10,58.8,55.8,8350,10,0,98,158,286,58,0,58,2803,74468
1.6369,1.6532,1.2674,91.1857,72.2677,57.2153,8.724,8.6194,8.5138,8.8296,8.7242,8.619,8.5141,9.4621,9.2517,8.6205,8.5161,8.4103,97.83,10.405,0.1419,22.2032,0.1825,61.1,70.45,227.442,0.3153,228.345,0.2262,227.751,0.3272,25.5,0,85.2,86.4,6078,15,0,125,142,332,31,82,0,9872,87865
1.101,1.0605,1.1129,91.9207,72.7943,57.7077,8.7235,8.6191,8.5135,8.8288,8.7237,8.6187,8.5135,9.4594,9.249,8.6186,8.5231,8.4082,69.64,10.4319,0.2047,23.5241,0.2649,35.55,39.3167,227.891,0.1366,228.929,0.181,228.878,0.204,68.5,0,77.7,75.7,11485,54,0,48,70,490,43,42,0,6704,80388
3.1209,1.7977,2.6588,100.7933,78.4403,60.7323,8.7247,8.6165,8.509,8.8318,8.724,8.6166,8.5083,9.4804,9.2643,8.6168,8.5087,8.401,52.51,10.3369,0.1396,18.5255,0.1872,79.6833,82.05,,,,,,,63.4,0,62.6,62.9,6470,28,0,541,257,284,50,338,37,7930,96447
1.3107,1.27,1.2462,87.6197,69.865,56.4413,8.7236,8.617,8.5101,8.8306,8.7238,8.6171,8.5105,9.4702,9.2566,8.6168,8.5104,8.4035,23.96,7.6354,0.4787,15.6869,0.781,77.3833,88.8833,264.241,0.1494,260.919,0.4071,261.032,0.4564,104,0,33.8,24.3,8600,17,0,448,253,330,37,290,0,1068,66891
2.0833,1.4643,2,97.905,76.1773,58.8,8.7256,8.6183,8.5105,8.8334,8.7257,8.6182,8.5107,9.4782,9.2632,8.6182,8.5106,8.4029,15.57,12.3351,0.1017,22.294,0.1868,80.3167,96.8,257.754,0.2411,260.192,0.2263,260.591,0.2314,43.8,0,44.2,43.3,2271,8,0,24,20,143,42,30,0,1236,3481
2.0202,1.8036,1.306,98.419,76.6133,59.1443,8.7252,8.6182,8.5104,8.8334,8.7256,8.6179,8.5105,9.4784,9.263,8.6183,8.5104,8.4028,61.73,12.0962,0.1074,22.3899,0.2862,88.8833,64.65,256.225,0.1099,259.146,0.1017,261.6,0.1093,40.8,0,40.9,40.8,2584,9,17,60,66,42,49,55,0,9170,4126
2.2857,1.8872,1.7982,98.1543,76.397,58.9613,8.726,8.6188,8.5113,8.8468,8.7446,8.6357,8.5575,9.4786,9.2631,8.6174,8.5099,8.4021,19.48,12.1882,0.1104,21.9216,0.3491,74.95,56.3167,261.333,0.1158,259.659,0.1068,261.371,0.1088,40.56,0,40.49,38.84,1535,13,16,226,82,31,48,156,14,3620,5382
1.5144,1.2948,1.4754,95.9753,75.469,58.9453,8.7344,8.626,8.5177,8.836,8.7316,8.619,8.5131,9.4861,9.2912,8.6182,8.5102,8.4034,25.45,10.3932,0.0872,24.206,0.121,68.9667,62.3667,196.748,0.2546,198.98,0.1033,196.313,0.2767,50.2,0,53.8,49.3,4677,18,0,0,10,398,16,0,0,10085,76953
2.25,1.4385,1.4157,95.4567,74.9497,58.5493,8.7316,8.6253,8.5178,8.8349,8.7263,8.6178,8.5094,9.5006,9.2833,8.6308,8.524,8.415,85.52,10.3455,0.0954,22.5369,0.1049,76.2167,76.5833,190.05,0.297,196.616,0.2894,198.881,0.2985,49.9,0,52.2,48.5,4152,8,0,8,33,194,16,15,0,6491,40551
1.3947,1.3253,1.6667,95.3773,74.8967,58.509,8.7342,8.6254,8.5167,8.8427,8.734,8.6253,8.5165,9.4951,9.2777,8.6253,8.5166,8.4079,50.48,10.5952,0.1217,21.9529,0.1315,74.4,77.35,205.338,0.2446,205.535,0.2185,160.293,0.4293,48.7,10,51.3,75.3,5192,9,0,8,25,229,16,0,0,2988,44530
1.031,1.243,1.4839,92.838,75.111,58.6773,8.7341,8.6254,8.5167,8.85,8.7413,8.6326,8.5239,9.4952,9.2777,8.6252,8.5165,8.4078,61.53,10.4767,0.1348,,,66.0333,86.6,204.342,0.2604,203.345,0.0064,204.721,0.2496,60.6,10,61.8,58.2,8539,8,0,24,53,269,23,0,21,4523,58017
1.5528,1.4912,1.3958,95.1997,74.733,58.3543,8.7197,8.6106,8.5019,8.8227,8.7184,8.6102,8.5021,9.4854,9.2686,8.6178,8.5093,8.4,65.68,10.5205,0.1094,22.378,0.153,55.7833,52.5667,202.704,0.1636,203.073,0.1279,204.785,0.1314,39.7,0,39.8,37.1,3349,5,0,3,16,243,0,0,0,19726,4959
2.4762,2.0167,1.4737,101.6367,78.8187,60.71,8.7263,8.6176,8.5094,8.8349,8.7267,8.6178,8.5095,9.4861,9.269,8.6179,8.5096,8.401,36.34,10.5733,0.2053,19.9752,0.2181,49.7,50.25,196.827,0.1678,194.465,0.1454,191.893,1.2937,119.7,0,114.7,122,8954,7,0,299,143,313,32,210,15,12540,5435
2.0822,1.5177,1.6319,101.1567,78.428,60.37,8.7261,8.618,8.5093,8.8352,8.7267,8.6178,8.5095,9.4863,9.269,8.618,8.5096,8.4008,23.09,10.6617,0.1183,20.0036,0.2324,80.1833,42.35,171.355,0.4279,169.989,0.3967,171.907,0.4236,102.9,0,104,109.8,10865,10,0,416,217,319,37,293,16,6188,5309
1.3699,1.1496,1.2556,88.7188,69.6786,55.3533,8.7155,8.6075,8.4996,8.8237,8.7156,8.6079,8.4998,9.4714,9.2553,8.6077,8.4996,8.3918,15.75,9.6129,0.2068,18.6266,0.1899,66.8167,69.475,175.998,0.3124,173.041,0.1825,174.96,0.2715,63.6,0,150.6,99.7,11285,56,0,305,177,440,59,122,241,2266,74838
1.2838,2,1.4163,91.761,72.0677,50.5043,8.7159,8.6081,8.4999,8.8241,8.7158,8.6081,8.4998,9.4716,9.2559,8.608,8.5002,8.3921,23.66,9.5509,0.1833,18.1065,0.3064,54.5,69.2333,175.549,0.215,172.84,0.1811,175.077,0.2378,79.3,0,41.6,46.7,7550,13,0,103,85,436,21,62,328,1971,57295
1.9063,1.4368,1.479,98.558,76.6727,59.269,8.733,8.6213,8.5177,8.8256,8.7178,8.6102,8.5177,9.4875,9.2721,8.6256,8.5179,8.4101,37.59,12.499,0.1646,22.3923,0.3743,56.4833,57.75,242.836,0.1741,258.734,0.1093,256.283,0.1063,49.6,0,51.5,51.2,403,3,0,17,16,119,16,21,0,1056,12387
1.8812,1.35,1.6351,97.9993,76.3343,58.9053,8.7261,8.6189,8.5111,8.8337,8.7261,8.6187,8.5109,9.4786,9.2633,8.6184,8.5107,8.4033,27.16,12.6858,0.1452,22.8733,0.275,77.3833,82.9,257.435,0.2209,261.228,0.2106,253.988,0.1897,32,0,33,34.5,1383,4,0,19,16,142,29,26,0,16564,69176
2.3096,1.6977,1.8594,98.0283,76.1083,58.8773,8.728,8.6204,8.5127,8.8359,8.7281,8.6203,8.5129,9.4814,9.2661,8.6203,8.5126,8.4048,30.7,12.4842,0.1288,21.9123,0.201,66.3833,96.1667,257.074,0.2186,258.017,0.2284,,,80.7,0,82.2,79.6,1300,7,0,195,86,23,33,142,0,2040,77598
3,3,3,,,,8.7303,8.6225,8.5148,8.8381,8.7303,8.6225,8.5148,9.4848,9.2692,8.6225,8.5148,8.4069,20,5.9297,0.1433,5.9297,0.1413,68.9833,79.6667,178.324,0.3744,177.655,0.3874,176.617,0.3563,36.9,10,36,36,1398,7,0,184,85,31,33,138,0,2238,85957
1.6886,1.5287,1.6311,98.338,76.5263,59.0447,8.7256,8.6181,8.5103,8.8331,8.7256,8.6181,8.5106,9.4788,9.2634,8.6186,8.5109,8.4033,22.34,12.4878,0.1248,22.1003,0.2255,82.8333,61.4833,260.859,0.3487,,,258.458,0.2054,73.1,0,77.3,78.2,2820,5,0,205,82,40,48,166,0,1701,4114
1.6429,1.4983,1.1505,98.3847,76.5893,59.0673,8.7268,8.6195,8.5116,8.8348,8.727,8.6199,8.5117,9.4804,9.2654,8.6193,8.5121,8.4042,19.43,12.4784,0.1027,,0.1793,81.0333,86.6,,,,,260.52,0.2001,36.4,10,34.7,34,3371,6,0,252,115,59,26,186,0,3613,64482
1.2383,1.1005,1.2205,90.821,71.4243,56.884,8.7162,8.6082,8.5002,8.8243,8.7165,8.6084,8.5006,9.4719,9.2563,8.6084,8.5001,8.3922,28.12,9.6575,0.1457,18.7655,0.621,71.1833,67.6833,176.831,0.3953,175.611,0.3849,175.525,0.3887,26.2,0,31.5,25.9,12726,11,0,98,88,329,28,60,8,6606,5573
1.2171,1.123,1.2143,90.9,71.4617,56.9197,8.716,8.6084,8.5005,8.8246,8.7166,8.6086,8.5006,9.4723,9.2559,8.6082,8.5005,8.3926,25.43,9.6387,0.2252,18.6165,0.5505,72.8167,66.1667,178.157,0.3531,178.142,0.3737,176.69,0.3872,171.2,0,52,50.2,13417,10,0,186,104,260,50,119,56,9524,5754
1.2324,1.0635,1.1654,91.8623,72.254,57.5167,8.7202,8.6122,8.5038,8.8286,8.7206,8.6123,8.5043,9.4774,9.2611,8.6119,8.5038,8.3959,30.06,9.5447,0.3683,18.7117,0.3683,75.3,57.0667,174.505,0.3814,175.762,0.3557,180.405,0.5271,35.2,0,41.5,35.8,,,,,,,,,,,
1.2148,1.1143,1.8138,90.928,71.5167,56.9367,8.7219,8.6139,8.5057,8.8279,8.7199,8.6113,8.5034,9.4774,9.2604,8.6117,8.5033,8.3956,29.63,9.6709,0.1766,20.0057,0.6049,78.2833,77.4333,178.315,0.399,175.546,0.3702,178.543,0.4536,52,0,57.1,50.4,,,,,,,,,,,
1.2926,1.1962,1.3278,90.711,71.2203,56.6133,8.7153,8.6074,8.4995,8.8232,8.7155,8.6074,8.4996,9.471,9.2548,8.6075,8.4992,8.3914,16.47,9.807,0.1826,18.7839,0.1885,78.0667,28.9333,176.739,0.1863,176.367,0.2883,175.721,0.2796,17.1,0,35,33.3,12806,9,0,179,139,423,20,105,254,2470,74326
1.4301,1.2249,0,90.223,70.8287,56.3693,8.7154,8.6073,8.4995,8.8235,8.7152,8.6074,8.4995,9.4713,9.2555,8.6079,8.4997,8.3914,32.2,10.004,0.1954,18.3374,0.6137,67.2167,46.4167,177.508,0.188,176.373,0.1737,177.368,0.1824,78.1,0,70.6,26.4,11372,5,0,179,110,336,7,112,2229,3538,4699
3,3,3,90.6667,71,56.3333,8.7361,8.6287,8.5208,8.8434,8.7359,8.6281,8.5206,9.4896,0.2744,8.6283,8.5201,8.4128,20,7.0854,0.3084,7.0856,0.3059,41.6167,42.95,259.903,0.2095,260.146,0.2281,259.788,0.2309,42.5,10,46.1,44.2,16524,8,0,84,70,234,20,54,279,2285,31785
1.1413,1,2,90.6973,71.3027,56.6307,8.7178,8.6099,8.5018,8.8256,8.7172,8.6095,8.5012,9.4744,9.2585,8.6009,8.5008,8.3929,35.16,9.6653,0.1286,,,74.6667,59.15,178.56,0.1843,179.285,0.1548,178.082,0.1847,36.6,0,43.2,37.1,14391,116,0,187,166,382,89,126,83,253,4527
