Surge2 leak,Surge3 loss,Surge3 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8
0.0000,39.5000,0.0000,4800.0000,31.0000,0.0000,13.0000,63.0000,680.0000,26.0000,17.0000
10.0000,46.4000,10.0000,3594.0000,40.0000,3.0000,14.0000,47.0000,219.0000,18.0000,3.0000
0.0000,70.2000,0.0000,5666.0000,12.0000,0.0000,6.0000,14.0000,612.0000,15.0000,14.0000
10.0000,92.8000,10.0000,1777.0000,16.0000,0.0000,538.0000,205.0000,172.0000,438.0000,0.0000
0.0000,145.7000,0.0000,2115.0000,15.0000,0.0000,462.0000,200.0000,142.0000,323.0000,0.0000
0.0000,84.9000,0.0000,8290.0000,82.0000,0.0000,5.0000,10.0000,1548.0000,34.0000,15.0000
0.0000,121.9000,0.0000,871.0000,4.0000,0.0000,18.0000,14.0000,63.0000,15.0000,23.0000
0.0000,40.0000,0.0000,397.0000,5.0000,0.0000,16.0000,7.0000,55.0000,23.0000,29.0000
0.0000,44.8300,0.0000,7443.0000,8.0000,0.0000,4.0000,14.0000,0.0000,31.0000,21.0000
0.0000,81.1000,0.0000,3867.0000,15.0000,0.0000,314.0000,155.0000,229.0000,38.0000,252.0000
0.0000,74.1000,0.0000,1644.0000,5.0000,0.0000,24.0000,38.0000,149.0000,17.0000,26.0000
0.0000,40.0000,0.0000,3430.0000,4.0000,0.0000,11.0000,30.0000,341.0000,30.0000,16.0000
,,,17641.0000,9.0000,0.0000,7.0000,30.0000,1131.0000,19.0000,15.0000
0.0000,40.0000,0.0000,15600.0000,12.0000,0.0000,5.0000,24.0000,2007.0000,15.0000,0.0000
0.0000,65.0000,0.0000,3025.0000,13.0000,0.0000,403.0000,167.0000,190.0000,43.0000,293.0000
0.0000,62.4000,0.0000,3003.0000,24.0000,0.0000,586.0000,188.0000,164.0000,53.0000,405.0000
0.0000,34.1000,0.0000,4105.0000,11.0000,0.0000,34.0000,38.0000,575.0000,20.0000,34.0000
0.0000,124.8000,0.0000,4064.0000,8.0000,0.0000,107.0000,130.0000,628.0000,28.0000,69.0000
0.0000,60.7000,0.0000,1654.0000,100.0000,0.0000,28.0000,25.0000,393.0000,,
0.0000,57.1000,0.0000,3463.0000,8.0000,0.0000,426.0000,249.0000,519.0000,30.0000,296.0000
0.0000,0.3815,0.0000,2552.0000,13.0000,0.0000,420.0000,277.0000,344.0000,35.0000,278.0000
0.0000,92.4000,0.0000,6964.0000,7.0000,0.0000,455.0000,223.0000,628.0000,314.0000,0.0000
0.0000,136.5000,0.0000,3169.0000,17.0000,0.0000,927.0000,265.0000,231.0000,640.0000,0.0000
0.0000,28.6000,0.0000,8711.0000,5.0000,0.0000,266.0000,210.0000,754.0000,26.0000,189.0000
0.0000,40.0000,0.0000,8147.0000,9.0000,0.0000,310.0000,188.0000,454.0000,26.0000,212.0000
0.0000,26.2000,0.0000,2191.0000,5.0000,0.0000,23.0000,33.0000,165.0000,16.0000,23.0000
0.0000,28.2000,0.0000,6795.0000,8.0000,0.0000,55.0000,77.0000,342.0000,21.0000,39.0000
0.0000,30.6000,0.0000,10167.0000,9.0000,0.0000,329.0000,204.0000,475.0000,41.0000,247.0000
0.0000,65.4000,0.0000,8952.0000,8.0000,0.0000,325.0000,169.0000,408.0000,59.0000,257.0000
10.0000,43.3600,10.0000,7854.0000,322.0000,,407.0000,483.0000,178.0000,276.0000,255.0000
0.0000,24.5000,0.0000,4828.0000,7.0000,0.0000,378.0000,216.0000,519.0000,26.0000,268.0000
0.0000,23.1000,0.0000,5672.0000,7.0000,0.0000,311.0000,199.0000,631.0000,25.0000,221.0000
10.0000,46.1180,10.0000,3271.0000,12.0000,0.0000,504.0000,223.0000,290.0000,80.0000,374.0000
0.0000,63.2000,0.0000,2401.0000,4.0000,0.0000,9.0000,18.0000,133.0000,,
0.0000,39.4000,0.0000,7259.0000,8.0000,0.0000,85.0000,99.0000,202.0000,8.0000,46.0000
0.0000,36.6000,0.0000,9477.0000,10.0000,0.0000,170.0000,162.0000,165.0000,16.0000,105.0000
0.0000,33.0000,0.0000,7097.0000,,80.0000,,,308.0000,,1234.0000
1.0000,116.0000,1.0000,6732.0000,32.0000,0.0000,206.0000,217.0000,741.0000,68.0000,139.0000
0.0000,40.0000,0.0000,8478.0000,10.0000,0.0000,180.0000,176.0000,382.0000,33.0000,108.0000
0.0000,40.0000,0.0000,9121.0000,11.0000,0.0000,202.0000,197.0000,375.0000,62.0000,125.0000
10.0000,55.8000,10.0000,8350.0000,10.0000,0.0000,98.0000,158.0000,286.0000,58.0000,0.0000
0.0000,86.4000,0.0000,6078.0000,15.0000,0.0000,125.0000,142.0000,332.0000,31.0000,82.0000
0.0000,75.7000,0.0000,11485.0000,54.0000,0.0000,48.0000,70.0000,490.0000,43.0000,42.0000
0.0000,62.9000,0.0000,6470.0000,28.0000,0.0000,541.0000,257.0000,284.0000,50.0000,338.0000
0.0000,24.3000,0.0000,8600.0000,17.0000,0.0000,448.0000,253.0000,330.0000,37.0000,290.0000
0.0000,63.2000,0.0000,1643.0000,12.0000,0.0000,233.0000,132.0000,336.0000,33.0000,199.0000
0.0000,43.3000,0.0000,2271.0000,8.0000,0.0000,24.0000,20.0000,143.0000,42.0000,30.0000
0.0000,40.8000,0.0000,2584.0000,9.0000,17.0000,60.0000,66.0000,42.0000,49.0000,55.0000
0.0000,38.8400,0.0000,1535.0000,13.0000,16.0000,226.0000,82.0000,31.0000,48.0000,156.0000
0.0000,49.3000,0.0000,4677.0000,18.0000,0.0000,0.0000,10.0000,398.0000,16.0000,0.0000
0.0000,48.5000,0.0000,4152.0000,8.0000,0.0000,8.0000,33.0000,194.0000,16.0000,15.0000
10.0000,75.3000,10.0000,5192.0000,9.0000,0.0000,8.0000,25.0000,229.0000,16.0000,0.0000
10.0000,58.2000,10.0000,8539.0000,8.0000,0.0000,24.0000,53.0000,269.0000,23.0000,0.0000
0.0000,63.2000,0.0000,8960.0000,9.0000,0.0000,7.0000,27.0000,69.0000,31.0000,0.0000
0.0000,37.1000,0.0000,3349.0000,5.0000,0.0000,3.0000,16.0000,243.0000,0.0000,0.0000
0.0000,122.0000,0.0000,8954.0000,7.0000,0.0000,299.0000,143.0000,313.0000,32.0000,210.0000
0.0000,109.8000,0.0000,10865.0000,10.0000,0.0000,416.0000,217.0000,319.0000,37.0000,293.0000
0.0000,99.7000,0.0000,11285.0000,56.0000,0.0000,305.0000,177.0000,440.0000,59.0000,122.0000
0.0000,46.7000,0.0000,7550.0000,13.0000,0.0000,103.0000,85.0000,436.0000,21.0000,62.0000
0.0000,51.2000,0.0000,403.0000,3.0000,0.0000,17.0000,16.0000,119.0000,16.0000,21.0000
0.0000,34.5000,0.0000,1383.0000,4.0000,0.0000,19.0000,16.0000,142.0000,29.0000,26.0000
0.0000,79.6000,0.0000,1300.0000,7.0000,0.0000,195.0000,86.0000,23.0000,33.0000,142.0000
10.0000,36.0000,10.0000,1398.0000,7.0000,0.0000,184.0000,85.0000,31.0000,33.0000,138.0000
0.0000,78.2000,0.0000,2820.0000,5.0000,0.0000,205.0000,82.0000,40.0000,48.0000,166.0000
10.0000,34.0000,10.0000,3371.0000,6.0000,0.0000,252.0000,115.0000,59.0000,26.0000,186.0000
0.0000,25.9000,0.0000,12726.0000,11.0000,0.0000,98.0000,88.0000,329.0000,28.0000,60.0000
0.0000,50.2000,0.0000,13417.0000,10.0000,0.0000,186.0000,104.0000,260.0000,50.0000,119.0000
0.0000,35.8000,0.0000,,,,,,,,
0.0000,50.4000,0.0000,,,,,,,,
0.0000,33.3000,0.0000,12806.0000,9.0000,0.0000,179.0000,139.0000,423.0000,20.0000,105.0000
0.0000,26.4000,0.0000,11372.0000,5.0000,0.0000,179.0000,110.0000,336.0000,7.0000,112.0000
10.0000,44.2000,10.0000,16524.0000,8.0000,0.0000,84.0000,70.0000,234.0000,20.0000,54.0000
0.0000,37.1000,0.0000,14391.0000,116.0000,0.0000,187.0000,166.0000,382.0000,89.0000,126.0000
0.0000,35.0000,0.0000,14680.0000,23.0000,5.0000,383.0000,127.0000,229.0000,37.0000,166.0000
0.0000,17.0000,0.0000,12018.0000,10.0000,0.0000,307.0000,114.0000,273.0000,15.0000,114.0000
0.0000,27.8000,0.0000,11854.0000,10.0000,0.0000,307.0000,110.0000,330.0000,15.0000,118.0000
0.0000,43.3000,0.0000,529.0000,3.0000,0.0000,12.0000,13.0000,210.0000,20.0000,23.0000
0.0000,45.9000,0.0000,443.0000,3.0000,0.0000,15.0000,9.0000,92.0000,0.0000,20.0000
0.0000,40.0000,0.0000,9077.0000,5.0000,0.0000,6.0000,32.0000,349.0000,20.0000,31.0000
10.0000,24.5000,10.0000,7350.0000,9.0000,0.0000,3.0000,12.0000,186.0000,45.0000,25.0000
0.0000,55.7000,0.0000,8422.0000,82.0000,0.0000,3.0000,12.0000,1078.0000,8.0000,11.0000
0.0000,17.9000,0.0000,10457.0000,5.0000,0.0000,6.0000,29.0000,202.0000,20.0000,39.0000
10.0000,56.3000,10.0000,2955.0000,12.0000,0.0000,0.0000,2.0000,244.0000,0.0000,0.0000
0.0000,68.5000,0.0000,4774.0000,17.0000,0.0000,4.0000,12.0000,777.0000,30.0000,0.0000
0.0000,42.7000,0.0000,5651.0000,25.0000,0.0000,5.0000,21.0000,499.0000,26.0000,0.0000
0.0000,63.2000,0.0000,6034.0000,27.0000,0.0000,7.0000,23.0000,850.0000,30.0000,15.0000
0.0000,85.3000,0.0000,8194.0000,24.0000,0.0000,12.0000,34.0000,833.0000,58.0000,17.0000
0.0000,22.0000,0.0000,6650.0000,307.0000,0.0000,511.0000,590.0000,280.0000,323.0000,268.0000
0.0000,22.0000,0.0000,,10.0000,0.0000,362.0000,188.0000,300.0000,45.0000,256.0000
0.0000,40.9000,0.0000,12024.0000,8.0000,0.0000,267.0000,141.0000,111.0000,36.0000,196.0000
10.0000,16.4000,10.0000,11421.0000,374.0000,0.0000,515.0000,510.0000,194.0000,448.0000,283.0000
0.0000,15.8000,0.0000,644.0000,0.0000,0.0000,69.0000,6.0000,10.0000,16.0000,103.0000
0.0000,19.1000,0.0000,15041.0000,10.0000,0.0000,323.0000,162.0000,136.0000,45.0000,235.0000
0.0000,36.4000,0.0000,11622.0000,9.0000,0.0000,401.0000,181.0000,147.0000,39.0000,287.0000
0.0000,40.0000,0.0000,1420.0000,10.0000,0.0000,337.0000,148.0000,316.0000,31.0000,217.0000
0.0000,40.0000,0.0000,1634.0000,8.0000,0.0000,299.0000,123.0000,246.0000,28.0000,198.0000
0.0000,40.0000,0.0000,2838.0000,7.0000,0.0000,372.0000,175.0000,315.0000,28.0000,246.0000
0.0000,40.0000,0.0000,4677.0000,9.0000,0.0000,294.0000,138.0000,151.0000,,
0.0000,54.0000,0.0000,7499.0000,22.0000,0.0000,4.0000,20.0000,697.0000,16.0000,0.0000
0.0000,,0.0000,6741.0000,9.0000,0.0000,268.0000,225.0000,380.0000,, 
0.0000,49.8000,0.0000,9918.0000,9.0000,0.0000,268.0000,242.0000,463.0000,, 
0.0000,63.2000,0.0000,3454.0000,10.0000,0.0000,276.0000,170.0000,276.0000,49.0000,187.0000
0.0000,62.6000,0.0000,4792.0000,11.0000,0.0000,282.0000,164.0000,271.0000,51.0000,190.0000
0.0000,71.7000,0.0000,2974.0000,8.0000,0.0000,174.0000,96.0000,0.0000,61.0000,137.0000
0.0000,44.3000,0.0000,2618.0000,7.0000,0.0000,281.0000,110.0000,120.0000,17.0000,199.0000
0.0000,72.7000,0.0000,7553.0000,9.0000,0.0000,324.0000,174.0000,336.0000,62.0000,230.0000
0.0000,72.8000,0.0000,2797.0000,6.0000,0.0000,3.0000,10.0000,621.0000,0.0000,37.0000
0.0000,86.7000,0.0000,2698.0000,6.0000,0.0000,298.0000,137.0000,260.0000,27.0000,206.0000
0.0000,86.6000,0.0000,2824.0000,6.0000,0.0000,234.0000,112.0000,243.0000,26.0000,166.0000
0.0000,72.1000,0.0000,5501.0000,5.0000,0.0000,5.0000,23.0000,1035.0000,17.0000,27.0000
0.0000,34.6000,0.0000,7608.0000,7.0000,0.0000,7.0000,29.0000,614.0000,19.0000,27.0000
0.0000,75.5000,0.0000,5669.0000,5.0000,0.0000,5.0000,24.0000,727.0000,2.0000,3.0000
0.0000,26.6000,0.0000,3520.0000,4.0000,0.0000,4.0000,17.0000,1204.0000,16.0000,21.0000
10.0000,35.6000,10.0000,8763.0000,11.0000,0.0000,8.0000,33.0000,599.0000,4.0000,7.0000
0.0000,52.6600,0.0000,5072.0000,3.0000,0.0000,3.0000,15.0000,572.0000,0.0000,59.0000
0.0000,73.0000,0.0000,3049.0000,3.0000,0.0000,3.0000,14.0000,1162.0000,0.0000,19.0000
0.0000,40.6000,0.0000,5555.0000,10.0000,0.0000,5.0000,42.0000,1949.0000,15.0000,20.0000
10.0000,16.9000,10.0000,6703.0000,8.0000,0.0000,351.0000,223.0000,518.0000,30.0000,240.0000
0.0000,160.6000,0.0000,6802.0000,6.0000,0.0000,279.0000,154.0000,278.0000,50.0000,214.0000
0.0000,81.5000,0.0000,8603.0000,5.0000,0.0000,334.0000,152.0000,359.0000,48.0000,255.0000
0.0000,151.2000,0.0000,7344.0000,63.0000,0.0000,298.0000,211.0000,384.0000,82.0000,238.0000
0.0000,63.2000,0.0000,5985.0000,27.0000,0.0000,718.0000,238.0000,271.0000,59.0000,559.0000
0.0000,63.2000,0.0000,3021.0000,18.0000,0.0000,410.0000,135.0000,408.0000,44.0000,328.0000
0.0000,40.0000,0.0000,1958.0000,13.0000,0.0000,500.0000,145.0000,189.0000,385.0000,0.0000
0.0000,40.0000,0.0000,2450.0000,23.0000,0.0000,942.0000,202.0000,335.0000,966.0000,0.0000
0.0000,40.0000,0.0000,3592.0000,16.0000,0.0000,737.0000,199.0000,411.0000,763.0000,0.0000
,,,7990.0000,11.0000,0.0000,204.0000,259.0000,723.0000,128.0000,0.0000
10.0000,,10.0000,6227.0000,10.0000,0.0000,334.0000,222.0000,295.0000,235.0000,0.0000
10.0000,78.8000,10.0000,5190.0000,127.0000,0.0000,449.0000,467.0000,576.0000,187.0000,273.0000
,,,10773.0000,133.0000,0.0000,265.0000,270.0000,978.0000,176.0000,18.0000
10.0000,59.0000,10.0000,5084.0000,8.0000,0.0000,333.0000,103.0000,138.0000,47.0000,310.0000
,,,3998.0000,34.0000,0.0000,369.0000,133.0000,153.0000,72.0000,306.0000
,,,2324.0000,9.0000,0.0000,397.0000,137.0000,180.0000,26.0000,324.0000
10.0000,31.6000,10.0000,4634.0000,31.0000,0.0000,890.0000,292.0000,560.0000,85.0000,985.0000
0.0000,32.6000,0.0000,4893.0000,18.0000,0.0000,623.0000,174.0000,184.0000,31.0000,481.0000
10.0000,30.1000,10.0000,4447.0000,27.0000,0.0000,265.0000,122.0000,211.0000,56.0000,201.0000
0.0000,37.9000,0.0000,4198.0000,6.0000,0.0000,104.0000,63.0000,118.0000,42.0000,89.0000
0.0000,37.6000,0.0000,8686.0000,25.0000,0.0000,100.0000,65.0000,125.0000,22.0000,79.0000
10.0000,47.5000,10.0000,7830.0000,6.0000,0.0000,13.0000,44.0000,144.0000,39.0000,23.0000
0.0000,80.6000,0.0000,7696.0000,6.0000,0.0000,76.0000,83.0000,162.0000,13.0000,53.0000
0.0000,33.4000,0.0000,3527.0000,3.0000,0.0000,44.0000,27.0000,65.0000,0.0000,83.0000
0.0000,43.3060,0.0000,3915.0000,5.0000,0.0000,122.0000,75.0000,145.0000,17.0000,92.0000
0.0000,70.1000,0.0000,4265.0000,8.0000,0.0000,177.0000,123.0000,320.0000,20.0000,113.0000
0.0000,70.9000,0.0000,4552.0000,8.0000,0.0000,49.0000,94.0000,158.0000,18.0000,34.0000
0.0000,30.6000,0.0000,3737.0000,6.0000,0.0000,60.0000,61.0000,247.0000,18.0000,50.0000
0.0000,39.6000,0.0000,5844.0000,8.0000,0.0000,61.0000,106.0000,279.0000,41.0000,0.0000
10.0000,38.6000,10.0000,7091.0000,7.0000,0.0000,41.0000,90.0000,265.0000,30.0000,0.0000
0.0000,43.6000,0.0000,,,,,,,,
0.0000,42.2000,0.0000,4250.0000,4.0000,0.0000,92.0000,55.0000,100.0000,6.0000,72.0000
