score,Insu R1,Insu R2,Insu R3,SC Tap1,SC Tap2,R12.8,R12.9,R12.10,R23.8,R23.9,R31.3,R31.9,R31.10,x10,Cap HL,Tan HL,Cap LH,Tan LH,BD Main,BD OLTC,Bush1 cap,Bush1 tan,Surge1 loss,Surge1 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8,H2,O2,N2
92.8,2.5878,1.781,2.5297,98.8813,77.0463,8.7264,8.6186,8.511,8.7265,8.6191,9.2632,8.6182,8.5106,15.28,12.2582,0.1888,22.0327,0.24,69.3667,64.1833,236.621,0.3713,45.4,0,529,3,0,12,13,210,20,23,0,12693,63295
92.1333,2.0493,1.586,2.6602,99.1043,77.2157,8.7262,8.6188,8.5112,8.7261,8.6187,9.2634,8.6184,8.5109,13.06,12.4189,0.1684,22.5443,0.225,88.0167,63.6167,251.086,0.2534,46.6,0,443,3,0,15,9,92,0,20,0,11043,55688
100,3,3,3,95,74.3333,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,64.3167,74.3167,200,0.01,40,0,9077,5,0,6,32,349,20,31,18,10838,90565
89.3333,0.8204,1.6534,1.5905,97.3667,76.3167,8.7135,8.605,8.4962,8.7124,8.6047,9.2569,8.6046,8.4965,19.42,9.9548,0.0763,9.9548,0.0885,83.8333,83.8333,193.562,0.4752,20.9,10,7350,9,0,3,12,186,45,25,0,14826,4950
93.0667,2,2.6994,4.1818,83.9148,65.3227,8.719,8.61,8.501,8.719,8.61,9.263,8.623,8.515,14.223,13.6787,0.16,21.1271,0.19,70.6,66.95,172.07,0.38,53.9,0,8422,82,0,3,12,1078,8,11,16,15102,5087
93.7333,1.3588,1.5102,1.2464,96.438,75.2017,8.7115,8.604,8.4954,8.7122,8.6038,9.2525,8.6037,8.4949,83.71,13.4187,0.0883,21.1933,0.1287,82.45,69.0333,174.896,0.3818,19.9,0,10457,5,0,6,29,202,20,39,0,1784,63381
87.4583,1.6069,1.5403,1.2743,97.79,76.2333,8.7201,8.6118,8.5042,8.7211,8.6124,9.2616,8.6116,8.8035,19.6,9.6473,0.1377,16.3218,0.2044,57.5833,86.6,,,56.3,10,2955,12,0,0,2,244,0,0,0,7313,31776
90.2667,1.5,1.2387,1.2695,94.2723,73.9957,8.7219,8.6138,8.5053,8.7227,8.6138,9.2635,8.6139,8.5056,36.83,9.4829,0.1179,16.3189,0.1793,68.3,74.4667,248.909,0.2395,61.7,0,4774,17,0,4,12,777,30,0,0,24140,98633
87.4583,1.4219,1.3527,1.4839,93.7653,73.564,8.7196,8.6113,8.5031,8.7195,8.6113,9.2604,8.6116,8.5032,23.63,9.5758,0.095,16.3964,0.1579,58,78.25,252.848,0.2684,40.7,0,5651,25,0,5,21,499,26,0,41,6871,56351
96.25,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,9.6961,0.12,16.5711,0.16,63.2333,57.7083,172.37,0.38,65.1,0,6034,27,0,7,23,850,30,15,58,13058,81604
92.1333,1.6,2.5294,3.4773,96.7733,75.9867,8.725,8.616,8.508,8.724,8.616,9.266,8.616,8.508,16,9.6168,0.14,16.1495,0.14,80.7833,71.9333,252.35,0.027,88.8,0,8194,24,0,12,34,833,58,17,0,10147,5237
89.3333,1.2035,1.1169,1.2818,87.7253,69.957,8.7237,8.6172,8.5106,8.7239,8.6172,9.257,8.6171,8.5103,20.37,7.6746,0.255,15.3522,0.2444,91.45,84.95,263.048,0.2137,42.7,,6650,307,0,511,590,280,323,268,212,9755,93214
85.5833,1.2545,1.1705,1.2761,87.542,69.7917,8.7234,8.617,8.5101,8.7262,8.6198,9.2594,8.6196,8.5132,18.85,7.7319,0.3571,16.248,0.3567,55.65,54.7667,263.862,0.3075,18.1,0,,10,0,362,188,300,45,256,8419,1637,4434
88.4,1.1827,1.1976,1.2857,87.514,69.8047,8.7233,8.6166,8.51,8.7234,8.6171,9.2569,8.6168,8.5102,29.05,7.6405,0.4431,15.6612,0.5352,60.6333,84.2333,263.958,0.5413,234.8,,12024,8,0,267,141,111,36,196,168,1628,2242
87.3167,1.126,1.0891,1.3401,87.9427,70.1317,8.7337,8.6271,8.5201,8.7308,8.6238,9.2649,8.6238,8.517,28.56,3.6764,0.1771,3.6768,0.1768,46.3333,65.35,262.3,0.4696,12.9,10,11421,374,0,515,510,194,448,283,2077,,5262
92.9333,1.3008,1.1752,1.3291,87.6287,69.8563,8.7235,8.6167,8.5103,8.7233,8.6168,9.2757,8.6358,8.5292,15.13,7.6586,0.2273,14.5456,0.2156,69.15,60.3667,263.087,0.2206,21.2,0,644,0,0,69,6,10,16,103,0,4817,17360
85.575,1.313,1.1794,1.2904,87.399,69.6727,8.7273,8.6206,8.5137,8.727,8.6201,9.2601,8.6201,8.5135,20.36,7.6794,0.2733,14.5242,0.2503,36.5667,62.6667,260.67,0.3189,27.1,0,15041,10,0,323,162,136,45,235,1054,701,3490
89.1917,1.1888,11.5405,1.1145,88.023,70.18,8.7233,8.6167,8.5101,8.7238,8.617,9.2567,8.6169,8.5102,35.59,7.5691,0.2105,15.5659,1.0793,82.8167,57.25,262.224,0.2196,34,0,11622,9,0,401,181,147,39,287,62,13059,6134
90.9083,3,3,3,56.3333,64,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,86.2667,,200,0.01,40,0,1420,10,0,337,148,316,31,217,0,6520,94340
96.5333,3,3,3,56.3333,64,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,83.5833,76.3333,200,0.01,40,0,1634,8,0,299,123,246,28,198,0,1599,46829
96.5333,3,3,3,56.3333,64,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,85.35,89.0167,200,0.01,40,0,2838,7,0,372,175,315,28,246,74,1434,48167
91.05,3,3,3,90,70,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,60,60,200,0.01,40,0,4677,9,0,294,138,151,,,523,392,66351
89.8333,1.6724,1.5229,1.9713,97.1033,76.3293,8.7341,8.6253,8.5166,8.7333,8.6248,9.2685,8.6178,8.5093,15.13,10.112,0.1093,23.4487,0.1097,78.8167,66.25,206.274,0.3772,49,0,7499,22,0,4,20,697,16,0,0,2958,84632
88.3917,1.4928,1.2707,1.0831,87.1853,69.3903,8.6076,8.5004,8.3926,8.7235,8.6169,9.2572,8.6172,8.5106,22.05,,,,,77.45,56.9667,258.6,0.1341,,0,6741,9,0,268,225,380, , ,52,903,72525
89.0667,1.2791,1.1336,1.205,88.781,70.7783,8.7265,8.6192,8.5126,8.7261,8.6192,9.2603,8.6196,8.5123,26.21,7.3562,0.1829,15.1055,0.3251,80.85,62.1667,260.21,0.5337,133.3,0,9918,9,0,268,242,463, , ,51,1031,62858
96.25,2,2.6102,2.902,71.6336,56.637,8.726,8.62,8.512,8.726,8.62,9.26,8.619,8.512,17.18,9.6961,0.12,16.5711,0.16,93.9,83.7833,172.37,0.38,65.1,0,3454,10,0,276,170,276,49,187,9,7246,5678
82,1.3161,1.1917,1.1837,89.151,71.1033,8.7248,8.6179,8.5112,8.7249,8.6182,9.2584,8.618,8.5116,36.15,7.4624,0.3925,15.3883,0.8307,83.75,64.4333,266.797,0.3027,81.6,0,4792,11,0,282,164,271,51,190,33,6006,6276
89.3333,2.3574,1.6823,1.0613,98.15,77.203,8.7229,8.6146,8.506,8.7227,8.6141,9.264,8.6148,8.5056,56.6,13.3996,0.1239,22.0871,0.4007,86.7833,77.3167,179.996,0.4571,65.9,0,2974,8,0,174,96,0,61,137,8,10276,5746
89.3333,2.0874,1.4808,1.6099,99.9387,78.6537,8.7225,8.6143,8.5059,8.7222,8.6135,9.2636,8.6141,8.5057,21.39,13.0639,0.1027,22.0973,0.3402,86.85,86.3333,173.659,0.3999,41.6,0,2618,7,0,281,110,120,17,199,13,6187,5132
89.3333,1.4889,1.4119,1.7808,96.8027,76.2236,8.7199,8.6118,8.5036,8.7198,8.6118,9.2604,8.6116,8.5036,38.48,12.7205,0.1841,21.3266,0.1511,72.5833,73.0667,312.822,0.2136,75.4,0,7553,9,0,324,174,336,62,230,26,18167,0
92.1333,2.3571,1.5077,1.7059,96.9143,76.2677,8.7229,8.6143,8.506,8.7224,8.6136,9.2638,8.6141,8.5058,25.17,12.358,0.1228,20.789,0.1264,70.0667,88.15,,,74.5,0,2797,6,0,3,10,621,0,37,0,8637,3226
92.1333,1.6623,1.2818,1.52,97.4613,76.8307,,,,,,,,,68.51,12.2717,0.1208,21.2846,0.1545,85.5167,81.8833,310.941,0.39,86.9,0,2698,6,0,298,137,260,27,206,30,13444,95861
92.1333,1.794,1.4086,1.5596,97.1513,76.5897,8.7204,8.612,8.504,8.7717,8.6506,9.2611,8.6125,8.5043,68.51,12.3055,0.1229,21.7673,0.1482,86.75,90.3667,312.572,0.4326,92.6,0,2824,6,0,234,112,243,26,166,26,5921,67753
92.8,1.3836,1.3945,1.0682,92.5387,73.587,8.7168,8.6117,8.5066,8.7168,8.6117,9.2421,8.6115,8.5064,21.84,10.2714,0.1101,16.9531,0.1343,80.85,77.5,175.949,0.4445,74.5,0,5501,5,0,5,23,1035,17,27,0,1905,48134
92.8,1.4391,1.4606,1.0909,93.1033,73.9923,8.717,8.612,8.5067,8.7295,8.6142,9.2425,8.6117,8.5067,14.62,10.3131,0.1233,17.2446,0.1292,87.95,76.6667,172.215,0.3828,34.2,0,7608,7,0,7,29,614,19,27,20,6366,76752
93.7333,1.5559,1.479,1.3256,92.621,73.586,8.7166,8.6115,8.5063,8.7165,8.6115,9.2425,8.6115,8.5067,22.68,10.2695,0.1088,17.0759,0.1196,88.75,66.95,174.349,0.6409,75.5,0,5669,5,0,5,24,727,2,3,0,4907,61393
93.7333,2.0455,1.3043,1.4389,93.1297,74.0333,8.7167,8.6119,8.5066,8.7167,8.6117,9.2427,8.6123,8.5071,16.47,10.2156,0.0827,16.8133,0.131,85.5167,76.8167,171.908,0.3827,27.2,0,3520,4,0,4,17,1204,16,21,0,2613,47124
91.0667,1.1743,1.1481,1.1312,95.9153,75.876,8.7237,8.6184,8.5131,8.724,8.6186,9.2506,8.6188,8.5136,19.28,6.643,0.0922,6.643,0.0921,67.4667,99.8333,171.986,0.3411,34,10,8763,11,0,8,33,599,4,7,0,3768,81988
89.3333,1.4215,1.2036,2.1,93.4953,74.3143,8.7168,8.6117,8.5067,8.7167,8.6117,9.24,8.6116,8.5066,36.68,10.1387,0.1278,17.1144,0.2331,79.9,83.3667,173.294,0.2005,51.81,0,5072,3,0,3,15,572,0,59,10,13407,5190
94.6583,3,3,3,93.0383,73.96,8.717,8.6118,8.5067,8.7172,8.6122,9.2424,8.612,8.5067,25.15,10.2266,0.1072,17.4651,0.2936,57.55,86.0167,171.549,0.432,71.7,0,3049,3,0,3,14,1162,0,19,0,3491,35180
92.8,1.4702,1.7349,1.2143,93.1407,74.0317,8.7169,8.6118,8.5067,8.7167,8.6119,9.2422,8.6118,8.5067,22.56,10.1983,0.1029,16.9084,0.1269,79.35,74.8167,178.697,0.3408,41.5,0,5555,10,0,5,42,1949,15,20,0,12173,91990
100,2,2.6102,2.902,71.6336,56.637,8.7353,8.6265,8.5184,8.7357,8.6264,9.2794,8.6271,8.5184,17.18,6.0353,0.1418,6.0354,0.1413,93.45,61.0167,175.104,0.4081,18,10,6703,8,0,351,223,518,30,240,36,1709,53616
81.3333,3.0218,1.4715,1.1865,96.0383,75.5743,8.72,8.6116,8.5034,8.7197,8.6118,9.2609,8.612,8.5039,80.24,13.3621,0.1452,21.5195,0.1463,81.9167,75.1,313.372,0.3614,159,0,6802,6,0,279,154,278,50,214,20,1237,3639
90.2667,2.0732,1.3247,1.4839,95.9887,75.5177,8.7091,8.606,8.4996,8.7201,8.6118,9.2608,8.6119,8.5038,118.9,13.3535,0.1235,21.9503,0.1369,88.05,64.2,309.267,0.4561,81,0,8603,5,0,334,152,359,48,255,16,2623,3137
84.1333,2.2381,1.871,1.8571,96.543,75.986,8.7198,8.6119,8.5036,8.7201,8.6118,9.2606,8.6121,8.5035,80.12,12.405,0.1419,21.4408,0.2105,90.25,95.9833,313.514,0.3561,157.1,0,7344,63,0,298,211,384,82,238,19,1603,5303
100,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,9.6961,0.12,16.5711,0.16,65,65,172.37,0.38,65.1,0,5985,27,0,718,238,271,59,559,31,2383,83027
100,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,9.6961,0.12,16.5711,0.16,65,65,172.37,0.38,65.1,0,3021,18,0,410,135,408,44,328,0,1494,82659
96,3,3,3,96.3333,75.6667,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,61.1,70.0667,200,0.01,40,0,1958,13,0,500,145,189,385,0,0,1523,77172
94.125,3,3,3,95.6667,75.3333,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,61.2667,56.2667,200,0.01,40,0,2450,23,0,942,202,335,966,0,0,1664,96518
87.1917,3,3,3,95.6667,75.3333,8.738,8.6304,8.5213,8.7385,8.6306,9.2781,8.6301,8.8221,20,10,0.01,20,0.01,89.2833,57.9167,200,0.01,40,0,3592,16,0,737,199,411,763,0,21,3601,90228
91.0667,1.2809,1.17,1.4688,89.2457,71.0657,8.7246,8.6179,8.5112,8.7245,8.618,9.258,8.6184,8.5113,25.54,,,,,90.0333,78.55,,,,,7990,11,0,204,259,723,128,0,30,1867,99186
84.4,1.2901,1.0663,1.2376,88.5887,70.6023,8.728,8.6207,8.5141,8.7278,8.6212,9.2623,8.6212,8.5143,29.27,7.3208,0.0691,7.3208,0.0689,99.1833,95.6167,,,,10,6227,10,0,334,222,295,235,0,34,2171,66618
94.375,3,3,3,87.6667,70,8.736,8.6278,8.5206,8.7358,8.6281,9.2743,8.6278,8.5203,20,5.9223,0.1184,5.9224,0.1177,79.2167,84.4333,,,79.5,10,5190,127,0,449,467,576,187,273,47,156,91735
87.3167,1.3558,1.5747,1.3125,88.3697,70.3467,8.7238,8.6173,8.5106,8.7242,8.6177,9.2523,8.6172,8.5107,26.68,,,,,51.6833,57.1167,,,,,10773,133,0,265,270,978,176,18,318,710,75448
88.3833,1.5,1.3235,1.7711,97.524,76.618,8.7401,8.6377,8.5241,8.7386,8.6429,9.2975,8.647,8.5335,41.92,3.7629,0.1798,3.7628,0.1792,57.05,50.5,,,36.1,10,5084,8,0,333,103,138,47,310,13,4682,3888
96.4,1.587,1.5217,1.2548,97.1767,76.287,8.729,8.621,8.5134,8.7289,8.6212,9.2675,8.6211,8.5132,59.01,,,,,73.7,73.8167,,,,,3998,34,0,369,133,153,72,306,9,7677,5064
92.8,1.3805,1.3045,2.3333,96.5723,75.8203,8.7291,8.6212,8.5135,8.7289,8.6216,9.2672,8.6207,8.5131,21.8,,,,,86.25,60.0833,,,,,2324,9,0,397,137,180,26,324,0,1970,75133
86.6667,1.587,1.2977,1.6438,96.8283,76.0257,8.7286,8.6207,8.513,8.7287,8.621,9.2672,8.621,8.5132,108.8,6.969,0.0877,6.9689,0.0779,98.2,88.3,175.536,0.4093,30.9,10,4634,31,0,890,292,560,85,985,52,132,102
87.3167,1.4764,1.1495,1.3434,97.0137,76.1173,8.7282,8.6204,8.5127,8.728,8.6206,9.2669,8.6206,8.5128,27.68,10.7435,0.0626,19.9182,0.0768,60,60,174.192,0.3748,34,0,4893,18,0,623,174,184,31,481,8,5987,4772
92.8,1.5504,1.2757,1.5115,92.3518,72.4746,8.7289,8.6209,8.5134,8.7287,8.6211,9.2671,8.6211,8.5132,55.31,7.0894,0.0853,7.0896,0.0688,94.7667,64.3167,178.281,0.213,30.4,10,4447,27,0,265,122,211,56,201,32,3107,5211
89.3333,1.5638,1.3452,1.8784,94.7713,74.625,8.7323,8.6243,8.5165,8.7318,8.6234,9.2718,8.6239,8.5163,21.31,10.8671,0.0803,19.822,0.0781,71.8333,64.05,176.805,0.3968,37.6,0,4198,6,0,104,63,118,42,89,21,3718,2999
94.6667,1.4048,1.2623,1.3429,93.855,73.8393,8.7315,8.6234,8.515,8.7313,8.6236,9.2713,8.6242,8.5159,96.46,10.9949,0.0808,20.6241,0.0921,68.7833,66.45,176.374,0.3911,37,0,8686,25,0,100,65,125,22,79,33,6633,3750
89.3333,1.7822,1.2964,2.4091,94.09,74.0253,8.737,8.6289,8.5221,8.7362,8.6283,9.276,8.6281,8.5202,28.62,6.2643,0.1431,,,64.1667,79.1167,177.597,0.401,48.2,10,7830,6,0,13,44,144,39,23,23,17315,5085
91.0583,1.4,1.2344,1.3529,93.4937,73.516,8.7316,8.6238,8.5156,8.7313,8.6237,9.2715,8.6237,8.5162,105,11.0138,0.0954,19.7308,0.0907,80.2667,59.45,171.603,0.3602,82.7,0,7696,6,0,76,83,162,13,53,35,9901,4774
90.2667,1.4042,1.0978,1.3816,93.3863,73.4077,8.7287,8.6209,8.5132,8.7292,8.6213,9.267,8.6204,8.5131,37.09,11.147,0.0986,18.694,0.1413,77.8833,81.7,172.577,0.3498,33.4,0,3527,3,0,44,27,65,0,83,0,2681,1813
90.625,2,2.6102,2.902,71.6336,56.637,8.738,8.628,8.526,8.738,8.628,9.281,8.628,8.527,17.18,10.8977,0.0912,19.578,0.0895,46.1167,51.6333,171.541,0.1902,41.41,0,3915,5,0,122,75,145,17,92,0,2950,40073
92.9333,2.4074,1.2903,1.5948,93.291,73.3313,8.7287,8.6208,8.5132,8.7283,8.6206,9.2612,8.621,8.5131,144.3,10.8708,0.0863,20.0927,0.08,67.75,69.9167,171.48,0.4062,66.5,0,4265,8,0,177,123,320,20,113,0,670,46766
81.8333,0.4709,0.233,0.4444,93.3243,73.3823,8.7287,8.6207,8.5134,8.7286,8.6206,9.2674,8.621,8.5133,21.13,10.9209,0.0883,20.2021,0.0932,50,60.55,173.857,0.4032,65.8,0,4552,8,0,49,94,158,18,34,18,14967,93842
89.3333,2.278,1.7045,1.8249,94.4123,74.2917,8.7286,8.621,8.513,8.724,8.6209,9.267,8.6213,8.5131,15.48,10.8175,0.0691,20.2853,0.0661,82.3333,70,173.259,0.3958,31.1,0,3737,6,0,60,61,247,18,50,0,7178,57699
89.3333,1.7414,1.25,1.3959,93.403,73.4763,8.7286,8.6208,8.5132,8.7293,8.6214,9.2672,8.6204,8.5127,24.05,10.5796,0.0717,19.3031,0.0736,76.0333,76.45,171.102,0.3668,39.4,0,5844,8,0,61,106,279,41,0,24,3601,55752
91.0667,1.458,1.171,1.2712,92.934,73.0673,8.7281,8.6204,8.5129,8.7281,8.6204,9.2673,8.621,8.5132,24.02,6.9586,0.0565,6.9586,0.0649,66.1667,69.1,170.086,0.3718,40.7,10,7091,7,0,41,90,265,30,0,0,3771,42989
83.0667,1.4746,1.1824,1.3008,93.823,73.7827,8.7288,8.6209,8.5135,8.7285,8.621,9.267,8.6206,8.513,25.38,10.6038,0.0834,19.7422,0.1002,68.75,86.5833,170.977,0.3748,42.3,0,,,,,,,,,,,
85.4333,1.4454,1.1829,1.3464,94.3663,74.223,8.7284,8.6206,8.5127,8.7287,8.621,9.2669,8.6206,8.5127,44.53,12.3133,0.1049,22.7143,0.1295,27.6667,55.3833,259.941,0.1198,44.36,0,4250,4,0,92,55,100,6,72,0,5967,2540
92,1.6038,1.9242,1.6477,94.811,74.5963,8.7283,8.6205,8.5129,8.7285,8.6212,9.2681,8.6218,8.514,110.6,12.2119,0.1012,22.2893,0.1386,89.5333,86.6,257.378,0.1239,44.55,0,2895,6,0,82,56,155,17,62,0,2666,43026
93.8667,1.7091,1.6693,1.7493,96.113,74.2983,8.7381,8.6296,8.5216,8.7372,8.6298,9.2763,8.6276,8.5189,145.7,10,0.01,20,0.01,89.5333,78.6167,200,0.01,40,0,4036,7,0,143,86,296,23,103,0,9486,84431
89.3333,2.7218,8.2935,6.1636,101.8267,79.9163,8.7339,8.6263,8.5189,8.7342,8.6268,9.2717,8.6299,8.5226,19.87,8.3346,0.0874,8.3346,0.0874,76.9333,71.5333,230.159,0.2121,71.9,10,1666,7,0,273,110,150,26,193,0,1875,51122
89.3333,2.732,2.1607,2.1429,101.71,79.804,8.733,8.6266,8.519,8.7338,8.6267,9.2715,8.6269,8.5189,17.72,8.0773,0.0936,8.0774,0.0776,68.3833,69.85,235.419,0.2257,68.7,10,1533,8,0,295,114,190,27,204,0,9717,10123
94.375,3,3,3,102.3333,80.3333,8.7303,8.6225,8.5148,8.7303,8.6225,9.2692,8.6225,8.5148,20,10,0.01,20,0.01,78.5667,78.2833,200,0.01,40,0,2075,6,0,257,125,165,24,177,24,2906,51426
