General,ActivePart,InsulatingOil,OLTC,Bushing,Arrester,DGA,score
5.000,12.133,15.000,20.000,20.000,10.000,10.000,92.133
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,13.067,15.000,20.000,20.000,10.000,10.000,93.067
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,9.333,13.125,20.000,20.000,10.000,10.000,87.458
5.000,9.333,13.125,20.000,20.000,10.000,10.000,87.458
5.000,10.267,15.000,20.000,20.000,10.000,10.000,90.267
5.000,9.333,13.125,20.000,20.000,10.000,10.000,87.458
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,12.133,15.000,20.000,20.000,10.000,10.000,92.133
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,11.250,20.000,20.000,10.000,10.000,85.583
5.000,11.067,15.000,20.000,20.000,7.333,10.000,88.400
5.000,11.067,11.250,20.000,20.000,10.000,10.000,87.317
5.000,12.933,15.000,20.000,20.000,10.000,10.000,92.933
5.000,11.200,9.375,20.000,20.000,10.000,10.000,85.575
5.000,11.067,13.125,20.000,20.000,10.000,10.000,89.192
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,16.533,9.375,20.000,20.000,10.000,10.000,90.908
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,14.800,11.250,20.000,20.000,10.000,10.000,91.050
5.000,17.333,7.500,20.000,20.000,10.000,10.000,89.833
5.000,10.267,13.125,20.000,20.000,10.000,10.000,88.392
5.000,11.067,15.000,20.000,20.000,8.000,10.000,89.067
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,12.000,15.000,10.000,20.000,10.000,10.000,82.000
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,12.133,15.000,20.000,20.000,10.000,10.000,92.133
5.000,12.133,15.000,20.000,20.000,10.000,10.000,92.133
5.000,12.133,15.000,20.000,20.000,10.000,10.000,92.133
5.000,16.000,15.000,20.000,20.000,10.000,10.000,96.000
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,16.533,13.125,20.000,20.000,10.000,10.000,94.658
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,9.333,15.000,20.000,20.000,2.000,10.000,81.333
5.000,10.267,15.000,20.000,20.000,10.000,10.000,90.267
5.000,12.133,15.000,20.000,20.000,2.000,10.000,84.133
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,13.143,7.500,20.000,20.000,10.000,10.000,85.643
5.000,16.000,7.500,20.000,20.000,10.000,10.000,88.500
5.000,12.000,15.000,20.000,20.000,10.000,10.000,92.000
5.000,16.800,13.125,20.000,18.667,10.000,10.000,93.592
5.000,20.000,15.000,20.000,20.000,10.000,6.000,96.000
5.000,20.000,13.125,20.000,20.000,10.000,6.000,94.125
5.000,13.067,13.125,20.000,20.000,10.000,6.000,87.192
5.000,13.600,15.000,20.000,20.000,10.000,10.000,93.600
5.000,17.600,15.000,20.000,20.000,10.000,10.000,97.600
5.000,16.800,15.000,20.000,20.000,10.000,10.000,96.800
5.000,12.000,15.000,20.000,20.000,10.000,10.000,92.000
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,11.067,15.000,20.000,20.000,3.333,10.000,84.400
5.000,20.000,9.375,20.000,20.000,10.000,10.000,94.375
5.000,11.067,11.250,20.000,20.000,10.000,10.000,87.317
5.000,12.133,11.250,20.000,20.000,10.000,10.000,88.383
5.000,16.400,15.000,20.000,20.000,10.000,10.000,96.400
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,9.333,15.000,20.000,20.000,7.333,10.000,86.667
5.000,11.067,11.250,20.000,20.000,10.000,10.000,87.317
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,17.600,13.125,20.000,20.000,10.000,10.000,95.725
5.000,16.800,11.250,20.000,20.000,10.000,10.000,93.050
5.000,16.000,15.000,20.000,20.000,8.667,10.000,94.667
5.000,14.400,13.125,20.000,20.000,9.333,10.000,91.858
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,14.667,15.000,20.000,20.000,10.000,10.000,94.667
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,12.933,13.125,20.000,20.000,10.000,10.000,91.058
5.000,10.267,15.000,20.000,20.000,10.000,10.000,90.267
5.000,20.000,5.625,20.000,20.000,10.000,10.000,90.625
5.000,12.933,15.000,20.000,20.000,10.000,10.000,92.933
5.000,9.333,7.500,20.000,20.000,10.000,10.000,81.833
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,11.067,15.000,20.000,20.000,10.000,2.000,83.067
5.000,12.933,7.500,20.000,20.000,10.000,10.000,85.433
5.000,12.000,15.000,20.000,20.000,10.000,10.000,92.000
5.000,13.867,15.000,20.000,20.000,10.000,10.000,93.867
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,20.000,9.375,20.000,20.000,10.000,10.000,94.375
4.908,20.000,13.125,20.000,20.000,10.000,10.000,98.033
4.908,20.000,15.000,20.000,20.000,10.000,10.000,99.908
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,9.333,13.125,20.000,20.000,10.000,10.000,87.458
5.000,11.067,13.125,20.000,20.000,10.000,10.000,89.192
5.000,9.333,13.125,20.000,20.000,10.000,10.000,87.458
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,14.667,15.000,20.000,20.000,6.000,10.000,90.667
5.000,9.333,11.250,20.000,20.000,10.000,10.000,85.583
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,10.267,15.000,20.000,20.000,10.000,10.000,90.267
5.000,12.933,15.000,20.000,20.000,10.000,10.000,92.933
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,14.667,5.625,20.000,20.000,10.000,10.000,85.292
5.000,16.000,13.125,20.000,20.000,10.000,10.000,94.125
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,12.000,15.000,20.000,20.000,6.000,10.000,88.000
5.000,12.133,15.000,20.000,20.000,10.000,10.000,92.133
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,11.067,9.375,20.000,20.000,10.000,10.000,85.442
5.000,13.867,15.000,20.000,20.000,10.000,10.000,93.867
5.000,12.800,15.000,20.000,20.000,4.000,10.000,86.800
5.000,9.333,15.000,20.000,20.000,5.333,10.000,84.667
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,11.067,13.125,20.000,20.000,10.000,10.000,89.192
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,13.867,15.000,20.000,20.000,10.000,10.000,93.867
5.000,14.667,15.000,20.000,20.000,10.000,10.000,94.667
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,12.933,15.000,20.000,20.000,10.000,10.000,92.933
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,12.000,15.000,20.000,20.000,10.000,10.000,92.000
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,11.250,20.000,20.000,10.000,10.000,85.583
5.000,14.667,15.000,20.000,20.000,10.000,10.000,94.667
5.000,16.000,15.000,20.000,20.000,10.000,10.000,96.000
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,18.400,11.250,20.000,20.000,10.000,10.000,94.650
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,11.200,13.125,20.000,20.000,10.000,10.000,89.325
5.000,15.600,15.000,20.000,20.000,10.000,2.000,87.600
5.000,17.333,15.000,20.000,20.000,10.000,2.000,89.333
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,16.400,15.000,20.000,20.000,10.000,10.000,96.400
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,18.400,15.000,20.000,20.000,10.000,10.000,98.400
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,9.333,13.125,20.000,20.000,8.667,10.000,86.125
5.000,13.733,13.125,20.000,20.000,10.000,10.000,91.858
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,12.800,13.125,20.000,20.000,7.333,10.000,88.258
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,13.867,15.000,20.000,20.000,10.000,10.000,93.867
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,9.333,15.000,20.000,20.000,10.000,2.000,81.333
5.000,15.600,13.125,20.000,18.667,10.000,10.000,92.392
5.000,17.400,15.000,20.000,20.000,10.000,10.000,97.400
5.000,14.667,15.000,20.000,20.000,10.000,10.000,94.667
5.000,12.133,15.000,20.000,20.000,10.000,10.000,92.133
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,14.533,15.000,20.000,20.000,10.000,10.000,94.533
5.000,15.467,15.000,20.000,20.000,10.000,10.000,95.467
5.000,16.533,13.125,20.000,20.000,10.000,10.000,94.658
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,17.333,15.000,20.000,20.000,10.000,10.000,97.333
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,20.000,13.125,20.000,20.000,10.000,10.000,98.125
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,10.857,15.000,20.000,20.000,10.000,10.000,90.857
5.000,15.200,13.125,20.000,20.000,10.000,10.000,93.325
5.000,18.400,15.000,20.000,20.000,10.000,10.000,98.400
5.000,13.600,15.000,20.000,20.000,10.000,10.000,93.600
5.000,10.857,15.000,20.000,20.000,10.000,10.000,90.857
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,15.000,20.000,20.000,10.000,2.000,81.333
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,15.467,15.000,10.000,20.000,10.000,10.000,85.467
5.000,14.533,15.000,20.000,20.000,10.000,10.000,94.533
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,14.800,15.000,20.000,20.000,10.000,10.000,94.800
5.000,16.533,13.125,20.000,20.000,10.000,10.000,94.658
5.000,12.800,15.000,20.000,20.000,10.000,2.000,84.800
5.000,12.800,15.000,20.000,20.000,10.000,2.000,84.800
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,13.867,7.500,20.000,18.667,10.000,10.000,85.033
5.000,15.600,15.000,20.000,18.667,10.000,10.000,94.267
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,13.733,9.375,20.000,20.000,10.000,10.000,88.108
5.000,9.333,13.125,20.000,20.000,10.000,10.000,87.458
5.000,9.333,15.000,20.000,20.000,10.000,2.000,81.333
5.000,13.867,15.000,20.000,20.000,10.000,2.000,85.867
5.000,11.067,13.125,20.000,20.000,10.000,2.000,81.192
5.000,12.133,15.000,20.000,20.000,10.000,2.000,84.133
5.000,9.333,15.000,20.000,20.000,10.000,2.000,81.333
5.000,11.067,15.000,20.000,20.000,10.000,2.000,83.067
5.000,12.133,11.250,20.000,20.000,10.000,10.000,88.383
5.000,11.200,15.000,20.000,20.000,10.000,2.000,83.200
5.000,9.333,15.000,20.000,20.000,10.000,2.000,81.333
5.000,12.000,15.000,20.000,20.000,10.000,2.000,84.000
5.000,9.333,15.000,20.000,20.000,10.000,2.000,81.333
5.000,12.133,15.000,20.000,20.000,6.000,2.000,80.133
5.000,14.667,11.250,20.000,20.000,10.000,10.000,90.917
5.000,18.267,11.250,20.000,20.000,10.000,10.000,94.517
5.000,13.867,15.000,20.000,20.000,10.000,10.000,93.867
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,9.333,11.250,20.000,20.000,10.000,10.000,85.583
5.000,13.067,11.250,20.000,20.000,10.000,10.000,89.317
5.000,12.800,15.000,20.000,20.000,8.667,10.000,91.467
5.000,12.800,15.000,20.000,20.000,7.333,2.000,82.133
5.000,12.800,15.000,20.000,20.000,6.000,2.000,80.800
5.000,12.800,15.000,20.000,20.000,10.000,2.000,84.800
5.000,12.933,15.000,20.000,20.000,10.000,10.000,92.933
5.000,11.067,15.000,20.000,20.000,7.333,2.000,80.400
5.000,14.533,15.000,20.000,20.000,5.333,2.000,81.867
5.000,14.533,15.000,20.000,20.000,10.000,10.000,94.533
5.000,11.200,15.000,20.000,20.000,10.000,10.000,91.200
5.000,12.933,7.500,20.000,20.000,10.000,10.000,85.433
5.000,12.133,11.250,20.000,20.000,10.000,10.000,88.383
5.000,15.600,15.000,20.000,20.000,10.000,10.000,95.600
5.000,17.333,15.000,20.000,20.000,10.000,10.000,97.333
5.000,14.667,11.250,20.000,20.000,9.333,10.000,90.250
5.000,12.133,15.000,20.000,20.000,2.000,10.000,84.133
5.000,12.933,11.250,20.000,20.000,10.000,10.000,89.183
5.000,14.667,15.000,20.000,20.000,10.000,10.000,94.667
5.000,12.000,11.250,20.000,20.000,10.000,10.000,88.250
5.000,12.800,15.000,20.000,20.000,10.000,2.000,84.800
5.000,14.667,11.250,20.000,20.000,10.000,10.000,90.917
5.000,14.533,15.000,20.000,20.000,10.000,10.000,94.533
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,12.133,11.250,20.000,20.000,10.000,10.000,88.383
5.000,12.000,13.125,20.000,20.000,10.000,2.000,82.125
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,11.067,15.000,20.000,20.000,10.000,10.000,91.067
5.000,12.800,15.000,20.000,20.000,10.000,10.000,92.800
5.000,15.467,15.000,20.000,20.000,10.000,10.000,95.467
5.000,13.733,15.000,20.000,20.000,10.000,10.000,93.733
5.000,15.600,11.250,20.000,20.000,10.000,10.000,91.850
5.000,16.533,15.000,20.000,20.000,10.000,10.000,96.533
5.000,11.067,11.250,20.000,20.000,10.000,10.000,87.317
5.000,13.067,15.000,20.000,20.000,10.000,10.000,93.067
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,18.267,11.250,20.000,20.000,10.000,10.000,94.517
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,9.333,15.000,20.000,20.000,10.000,10.000,89.333
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,18.267,11.250,20.000,20.000,10.000,10.000,94.517
5.000,16.533,11.250,20.000,20.000,10.000,10.000,92.783
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,20.000,11.250,20.000,20.000,10.000,10.000,96.250
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
4.639,20.000,15.000,10.000,20.000,10.000,10.000,89.639
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,20.000,15.000,20.000,20.000,10.000,10.000,100.000
4.639,20.000,15.000,10.000,20.000,10.000,10.000,89.639
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,13.067,15.000,20.000,20.000,10.000,2.000,85.067
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
5.000,20.000,15.000,20.000,20.000,10.000,2.000,92.000
